Headline,Day,Published_Date,Published_Region,Timings,Meetings
In Coimbatore Today,Sunday,2015-09-13,TAMIL NADU,"['9 a.m.', '9 a.m.', '10 a.m.', '10 a.m.', '10 a.m.', '10 a.m.', '11 a.m.', '3 p.m.', '6 p.m.']","GENERAL
PSG College of Arts and Science: Biz trac’15, Business quiz, GRD Auditorium, 9 a.m.
Yagoda Satsanga Dhyana Kendra: Talk on ‘Teachings of Paramahansa Yogananda,’ Uppilipalayam, 9 a.m.
Pavendhar Bharathidasan Elakiya Peravai: 88th birth anniversary day, Eki Kadalosai Visvanadhan Auditorium, in front of Podanur Railway Station.
Kasthurba Gandhi Memorial Sidha Hospital and Research Institute: Free Sidha medical camp, Varadarajapuram,10 a.m.
Vikram ENT Hospital and Research Institute: Talk on ‘Gita in every day life,’ Venkatasamy Road West, R.S. Puram, 10 a.m.
OnlySuccess Learning Technologies and The Hindu in School: Be a champ training programme, Hotel City Tower, Ramnagar, 10 a.m.
Vijaya Vasagar Vattam: Colloquium, Sidhapudur Government High School, 10 a.m.
Dr. N.G.P Arts and Science College: Parent Teacher Association meeting, 10 a.m.
Nehru College of Management: 18th Graduation Day ceremony, 11 a.m.
Alcoholic Anonymous: Meeting, Krishna Nursing Home, Ram Nagar,. 3 p.m.
Raj Vidya Kender Coimbatore Centre: Discourse on Inner Peace, Ardra Hall, Huzur Road, 6 p.m."
MADURAI TODAY FOR 12 SEPTEMBER SATURDAY,Saturday,2015-09-12,TAMIL NADU,['7 p.m.']," Anonymous: Meeting, Quality Care Hospital, Ellis Nagar, 7 p.m."
Feel free to seek help,Sunday,2015-09-06,TELANGANA,[],"Anyone in the city who suffers from drug addiction can contact the local helpline of Narcotics Anonymous (NA) to help them with the problem. The group, which conducts meetings a few times in a week, will keep the identity of all its members anonymous.
The NA group may be contacted at 082975 44324 to know about the locations of the meetings. “We conduct them at hospitals, schools and other public places, but never at a member’s house. And we do not charge money, as it’s a not-for-profit organisation,” said Amitabh, a member from New Delhi, at a press conference here on Friday. Mr. Amitabh and other members said that the meetings encourage ‘fellowship’ of the group. “It is an environment for addicts to identify and help each other to stay away from mood altering substances, that include alcohol,” he added. The core NA programme is a 12-step one which all members have to follow to de-addict themselves. In the meetings, the experienced members termed ‘sponsors’ will guide the new members in identifying their problems and help them find best solutions. The NA does not accept financial contributions from any non-members, said Mr. Amitabh. “Nor does it affiliate or endorse its name to any outside enterprise,” he added."
When getting high mattered most,Sunday,2015-09-06,TELANGANA,[]," Anonymous. “My attitude was ‘I, me myself’. I got the message about the group in 1992 the first time, but it was some years later that it really helped me,” he recalled.
Alongside Vardhan were other members of Narcotics Anonymous, who shared their experiences, explaining how addiction should be treated as a problem and not a crime. “I am a doctor and I was working in the neo-natal care unit. The drugs had such a strong hold on me that I could do things only when they were in my system,” said Ashish, who is now leading a clean life.
Both of them shared that they faced relapses during treatment at rehabilitation clinics. Ashish said that the cause of it was lack of a support system. “The first time I had gone for a meeting, they clapped when I introduced myself,” he mentioned, adding that the group meetings provide the much-needed help to addicts. They were both attending a press conference organised by the group here on Friday.
Benjamin, another member from Bengaluru, pointed out that newcomers are encouraged to attend meetings even if they take drugs after attending a session. “I was a hopeless person when I was younger. Because I could not meet the expectations, I took to drugs,” he recalled.
As of now, the Narcotics Anonymous meetings in Hyderabad comprise between 20-25 members per session. “Over the last few years, the numbers have improved,” said Amitabh, who addressed the media. He added that overall, the group has touched 8,000 members.
The group meetings of Narcotics Anonymous provide the much-needed help to drug addicts
Ashish
A member"
COIMBATORE TODAY,Sunday,2015-09-06,TAMIL NADU,"['4.15 a.m.', '10.30 a.m.', '5.30 p.m.', '10 a.m.', '8.15 a.m.', '9 a.m.', '9.25 a.m.', '9.30 a.m.', '10 a.m.', '10.30 a.m.', '12 p.m.', '3 p.m.', '5 p.m.', '5.30 p.m.']","RELIGION
Iskon: Sri Krishna Janmashtami Mahotsava, Sri Jagannath Mandir, Civil Aerodrome Post, 4.15 a.m.
Kovai Nagarathar Ilaingyar Sangam: Abishegam, Arulmigu Baladhandayuthabani Sanathi, Perur, 10.30 a.m.
CULTURE
Rajalakshmi Fine Arts: September Season 2015, Sarojini Natarajan Auditorium, 5.30 p.m.
GENERAL
Mark 1 Events and Decors: Wedding Vibes Expo, Codissia Fair Grounds, 10 a.m.
Kairali Cultural Association: Annual Day and Onam Fest 2015, SNR and Sons College Auditorium, 8.15 a.m.
Akshit Foundation: Total Voluntary Blood Programme and Vision 2020, G.K.D Auditorium, GKNM Hospital, Pappanaickenpalayam, 9 a.m.
Shree Coimbatore Gujarati Samaj: Inauguration, Sri Vijaya-Kantaben Kishandas Kikani Speciality Consultations Medical Center, 9.25 a.m.
Vanavil Kalai Maiyam and Lions Club of Coimbatore: Star Singer Season 2 Audition, Ardra Hall,
9.30 a.m.
Central Reserve Police Force: Sapling Plantation programme, Vellalore, 10 a.m.
Coimbatore Agro Forestry Producer Company Limited: Meeting, Office of the Conservator of Forest, Bharathi Park Road,
10.30 a.m.
Kasthuri Sreenivasan Trust: Kasthuri Sreenivasan Memorial Quiz – 2015, Kasthuri Sreenivasan Culture Centre, 12 p.m.
Alcoholic Anonymous: Meeting, Krishna Nursing Home, 3 p.m.
Tamil Nadu Kalai Elakiya Perumandram: Meeting, Dhivyodhaya Auditorium,
5 p.m.
Coimbatore Book Club: Meeting, Mani High School, 5.30 p.m."
When getting high mattered most,Saturday,2015-09-05,TELANGANA,[]," Anonymous. “My attitude was ‘I, me myself’. I got the message about the group in 1992 the first time, but it was some years later that it really helped me,” he recalled.
Alongside Vardhan were other members of Narcotics Anonymous, who shared their experiences, explaining how addiction should be treated as a problem and not a crime. “I am a doctor and I was working in the neo-natal care unit. The drugs had such a strong hold on me that I could do things only when they were in my system,” said Ashish, who is now leading a clean life.
Both of them shared that they faced relapses during treatment at rehabilitation clinics. Ashish said that the cause of it was lack of a support system. “The first time I had gone for a meeting, they clapped when I introduced myself,” he mentioned, adding that the group meetings provide the much-needed help to addicts. They were both attending a press conference organised by the group here on Friday.
Benjamin, another member from Bengaluru, pointed out that newcomers are encouraged to attend meetings even if they take drugs after attending a session. “I was a hopeless person when I was younger. Because I could not meet the expectations, I took to drugs,” he recalled.
As of now, the Narcotics Anonymous meetings in Hyderabad comprise between 20-25 members per session. “Over the last few years, the numbers have improved,” said Amitabh, who addressed the media. He added that overall, the group has touched 8,000 members.
The group meetings of Narcotics Anonymous provide the much-needed help to drug addicts
Ashish
A member"
Feel free to seek help,Saturday,2015-09-05,TELANGANA,[],"Anyone in the city who suffers from drug addiction can contact the local helpline of Narcotics Anonymous (NA) to help them with the problem. The group, which conducts meetings a few times in a week, will keep the identity of all its members anonymous.
The NA group may be contacted at 082975 44324 to know about the locations of the meetings. “We conduct them at hospitals, schools and other public places, but never at a member’s house. And we do not charge money, as it’s a not-for-profit organisation,” said Amitabh, a member from New Delhi, at a press conference here on Friday. Mr. Amitabh and other members said that the meetings encourage ‘fellowship’ of the group. “It is an environment for addicts to identify and help each other to stay away from mood altering substances, that include alcohol,” he added. The core NA programme is a 12-step one which all members have to follow to de-addict themselves. In the meetings, the experienced members termed ‘sponsors’ will guide the new members in identifying their problems and help them find best solutions. The NA does not accept financial contributions from any non-members, said Mr. Amitabh. “Nor does it affiliate or endorse its name to any outside enterprise,” he added."
MADURAI TODAY FOR 31 AUGUST MONDAY,Monday,2015-08-31,TAMIL NADU,['7 p.m.']," Anonymous: Meeting, Quality Care hospital, Ellis Nagar, 7 p.m."
MADURAI TODAY FOR AUGUST 21 FRIDAY,Friday,2015-08-21,TAMIL NADU,['7 p.m.']," Anonymous: Meeting, St. Mary’s Higher Secondary School,. East Veli Street, 7 p.m."
MADURAI TODAY FOR AUGUST 21 FRIDAY,Friday,2015-08-21,TAMIL NADU,['7 p.m.']," Anonymous: Meeting, St. Mary’s Higher Secondary School,. East Veli Street, 7 p.m."
A struggle back to normal life,Sunday,2015-08-09,TAMIL NADU,[]," Anonymous at the Kajamalai Ladies Association (KLA) Trust, and those assembled here are from all walks of life: farmers, marketing executives, a former political party worker, a noon meal scheme caterer, a businessman … they are people who let their love for liquor briefly get the better of them.
As the stories tumble out and the survivors recount their harrowing journey back to normalcy, all that social organisations like the KLA can do is hope that their patients keep to the straight and narrow path of recovery after treatment.
“Liquor consumption stops the normal functioning of the body. The empty calories of the drink suppress hunger,” Mr. Bharathimohan, project director of the de-addiction centre at KLA, told The Hindu . “Many alcoholics cannot eat more than half an idli, or a little gruel when their addiction is at its peak.
This is why our treatment starts with nutritional and psychological support.”
Whether it is manufactured by the government or native brewers, alcohol is an addictive substance, Mr. Bharathimohan clarified.
“The success rate of alcohol de-addiction treatment in our experience is that out of 10 people, six will definitely stay off the drink for the rest of their life. The others will have a relapse, either due to personal circumstances or willpower failure,” he said.
“So we counsellors have to keep working, and be happy with those who have taken our message to heart.”
What starts out as a means to get attention or an expression of rebellion soon becomes a need that has to be satisfied at all costs, said Mr. Bharathimohan, explaining the psychology of the alcoholic.
In the past 20 years that he has been a counsellor, Mr. Bharathimohan has seen the average age of the addict fall from 38 to 13 to 14. The KLA has a minimum age limit of 18."
AA city chapter turns 23,Tuesday,2015-07-14,KERALA,[], Anonymous is an organisation that works with no public fund collections or fee from any person.
COIMBATORE TODAY,Sunday,2015-07-12,TAMIL NADU,"['10 a.m.', '4 p.m.', '6.30 p.m.', '1.30 p.m.', '6 p.m.', '9 a.m.', '3.30 p.m.', '9.30 a.m.', '2 p.m.', '3 p.m.', '10 a.m.', '9 a.m.', '10.30 a.m.', '10.30 a.m.']","RELIGION
Sri Aurobindo Devotees Trust: Prayers to Sri Annai, Sasi Balika Vidya Mandir, 10 a.m. and Sri Annai Meditation Centre, W7C, Kovaipudur,
4 p.m.
Shri Palimar Mutt, Udupi: Discourse, Sumadhava Vijaya, Sri Raghavendra Swami Temple, Sullivan Street, 6.30 p.m.
Committee of Organisers: Prayer meeting, Bethesda Kalaiarangam, Karunya Nagar, 1.30 p.m.
Raj Vidya Kender: Discourse, Inner Peace, Ardra Hall, Huzur Road, 6 p.m.
Yagoda Satsanga Dhyana Kendra: Satsanga, Kendra premises, next to Perks School, 9 a.m.
GENERAL
European Union Delegation: Indo Cine Appreciation Foundation and Hindusthan College of Arts and Science: European Film Festival,
3.30 p.m.
Kumaraguru College of Technology and Vivekananda Kendra: Youth development camp, 9.30 a.m.
KSG College of Arts and Science and KSG International Medical Center: Founder’s Day celebrations, 2 p.m.
Alcoholic Anonymous: Meeting, Krishna Nursing Home, Ramnagar,
3 p.m.
Vijaya Vasagar Vattam: Meeting with author Zahir Raja, Sidhapudur Corporation School, 10 a.m.
Vardhamanan Publications: Book release function, Mani Higher Secondary School, 9 a.m.
Aravanaipu: Fund release programme, Dhivyodaya Hall, 10.30 a.m.
UDHAGAMANDALAM
Bharathiar University: Skills Conclave – career guidance programme, Emerald Heights College for Women, 10.30 a.m."
MADURAI TODAY FOR 29 JUNE MONDAY,Monday,2015-06-29,TAMIL NADU,['7 p.m.']," Anonymous: Meeting, Quality Care Hospital, Ellis Nagar, 7 p.m."
COIMBATORE TODAY,Sunday,2015-06-28,TAMIL NADU,"['6pm.', '10am.', '4pm.', '5pm.', '10am.', '11am.', '8am.', '11am.', '10am.', '3pm.', '10am.', '10am.']","RELIGION
Raj Vidya Kender: Discourse, Inner Peace, Ardra Hall, Huzur Road, 6pm.
Sri Aurobindo Devotees Trust: Prayers to Sri Annai, Sasibalika Vidya Mandir, Azad Road, R.S. Puram, 10am.; Sri Annai Meditation Centre, W7C, Kovaipudur, 4pm.
Jamaat-e-Islami Hind: Ifthaar get together, mosque in Salamad Nagar, Karumbukadai at 5pm.
GENERAL
Rotary Club of Coimbatore Downtown and police: Traffic awareness program, Women’s Polytechnic College Junction, 10am.
Easa College of Engineering and Technology: Third graduation day, 11am.
Coimbatore District Blindness Control Society, Sangamam, and Aravind Eye Hospital: Free eye check-up camp, Government School Velandipalayam, Kovilmedu, 8am.
Ortho One Orthopaedic Speciality Centre: Medical camp for Shoulder Problems, 8.a.m.
Dr. J.K.P. Medical Centre: Monthly meeting, Krishna Colony, Trichy Road, 11am.
Maattram: Rally to create awareness on wearing helmet, Race course, 10am.
Krishna Nursing Home: Alcoholic Anonymous meeting, 3pm.
Marxist Research Centre: Conference, Annamalai Hotel, Railway station, 10am.
TIRUPPUR
Angel College of Engineering and Technology: Graduation day, 10am."
MADURAI TODAY,Saturday,2015-06-20,TAMIL NADU,['7 p.m.']," Anonymous: Meeting, Quality Care Hospital, Ellis Nagar, 7 p.m."
MADURAI TODAY FOR JUNE 5 FRIDAY,Friday,2015-06-05,TAMIL NADU,['7 p.m.']," Anonymous: Meeting, Grace Kennett Hospital, 7 p.m."
Engagements. Coimbatore,Sunday,2015-05-31,TAMIL NADU,"['9 am.', '6 p.m.', '4.30 p.m.', '10 am;', '4 p.m.', '3 p.m.', '5.30 p.m.', '7 a.m.', '7 p.m.', '3 p.m.', '10.30 a.m.', '5 p.m.', '2 p.m.', '7 a.m.']","Religion
Yogoda Satsanga Dhyana Kendra: Satsang, Uppilipalayam, 9 am.
Raj Vidya Kender: Discourse on Inner Peace, Ardra Hall, 6 p.m.
Arulmigu Rathina Vinayagar Temple: Pradhosam pujas, D.B. Road, R.S. Puram, 4.30 p.m.
Sri Aurobindo Devotees Trust: Prayers to Sri Annai, Sasi Balika Vidya Mandir, R.S.Puram, 10 am; Sri Annai Meditation Centre, W7C, Kovaipudur 4 p.m.
General
Alcoholic Anonymous: meeting, Krishna Nursing Home, 3 p.m.
Indian Institute of Mind Power: Book Release, Ardra Hall,
5.30 p.m.
Ashwin Hospital: No Tobacco Day awareness rally and signature campaign, Race Course Road, 7 a.m.
Indian Medical Association: talk on “Overview of Cancer” by P. Guhan, Medical Onthologist, Sri Ramakrishna Hospital, IMA Hall, 7 p.m.
Tamilnadu College of Engineering: Graduation day, S. Natarajan, vice-chancellor of Gandhigram University, chief guest, 3 p.m.
Popular Front of India: Makkal Sangamam, Sivananda colony,
10.30 a.m.
Varnam Foundation: Corporation Commissioner Vijay Karthikeyan flags off Varnam Marathon, VOC Park, 5 p.m.
VAL PARAI
District Admin istration: Valediction of Valaparai summer festival, Government Higher Secondary School, 2 p.m.
UDHAGAMANDALAM
JSS Institute of Naturopathy and Yogic Sciences and Ayush Organisation: yoga camp, JSS College of Pharmacy, 7 a.m."
MADURAI TODAY FOR 24 MAY SUNDAY,Sunday,2015-05-24,TAMIL NADU,"['11 a.m.', '7 p.m.']"," Anonymous: Meeting, Albert Noble Matriculation School, Tirunagar, 11 a.m.; Justice V.R. Krishna Iyer Community Hall, K.K. Nagar, 7 p.m."
COIMBATORE TODAY,Sunday,2015-05-24,TAMIL NADU,"['9.30 a.m.', '10 a.m.', '9 a.m.', '10.30 a.m.']"," Anonymous Trust Intergroup: Anniversary and Public information Meeting, Thasapalangika Welfare Trust, Sathy Road, Gandhipuram, 9.30 a.m.
Nehru Arts and Science College: Autonomy and Outcome Based Education, 10 a.m.
Kovai Kalaimagal College of Arts and Science: Finishing School Programme, 9 a.m.
Committee of Organisers and Textile Industries in Tamil Nadu: Meeting, Strategies for Making Indian Industry Globally Competitive, Hotel Clarion, Chinniampalayam, 10.30 a.m."
MADURAI TODAY FOR 16 MAY SATURDAY,Saturday,2015-05-16,TAMIL NADU,['7 p.m.']," Anonymous: Meeting, Quality Care Hospital, Ellis Nagar, 7 p.m."
MADURAI TODAY FOR MAY 11 MONDAY,Monday,2015-05-11,TAMIL NADU,['7 p.m.']," Anonymous: Meeting, Quality Care Hospital, Ellis Nagar, 7 p.m."
MADURAI TODAY FOR MAY 10 MONDAY,Sunday,2015-05-10,TAMIL NADU,['7 p.m.']," Anonymous: Meeting, Justice V.R. Krishna Iyer Community Hall, K.K. Nagar, 7 p.m."
Coimbatore Today,Sunday,2015-05-10,TAMIL NADU,"['10 a.m.', '4 p.m.', '6 p.m.', '6.30 a.m.', '9 a.m.', '9.30 a.m.', '10 a.m.', '10 a.m.', '6 a.m.', '9 a.m.', '10 a.m.', '11.30 a.m.', '9 a.m.', '9 a.m.', '9 a.m.', '4 p.m.', '10.30 a.m.', '3 p.m.']","RELIGION
Prayers to Sri Annai: Sri Aurobindo Devotees Trust, Sasi Balika Vidya Mandir, R.S. Puram, 10 a.m.; Sri Annai Meditation Centre, W7C, Kovaipudur, 4 p.m.
Discourse on Inner Peace: Raj Vidya Kender, North Huzur Road, 6 p.m.
Abhishekam: Rathina vinayakar Temple, R.S. Puram, 6.30 a.m.
Satsangh: Yagoda Satsanga Dhyana Kendra, Uppilipalayam, 9 a.m.
CULTURE
Kasthuri Sreenivasan Trust: Painting exhibition, 9.30 a.m.
Tamil Nadu Kalai Ilakiya Perumandram: Meeting, 10 a.m.
Nanbarkal Sinthanai Poonga: Meeting, 10 a.m.
GENERAL
AJK College of Arts and Science: Bird Photography, 6 a.m.
Akshaya College of Engineering and Technology: Faculty Development Programme, 9 a.m.
Mnemonics Learning Centre: Language therapy for children with dyslexia, R.S. Puram, 10 a.m.
The Philatelists’ Coimbatore: Meeting, Vyshnav Building, Race Course, 11.30 a.m.
Coffee Board Pensioners' Association: Meet, Sanmarga Sangam Hall, R.S. Puram, 9 a.m.
Pensioners' Association of Tamil Nadu Agricultural University: Silver jubilee celebrations, 9 a.m.
Indu Makkal Katchi (Tamil Nadu): Function, Kalpana Marriage Hall, Kavundam palayam, 9 a.m.
Akhila Bharatha Brahmana Sabha: Conference, Gujarathi Samaj, 4 p.m.
Popular Front of India: Conference, Maruthunayagam Thidal, Thudiyalur, 10.30 a.m.
Alcoholic Anonymous: Meeting, Krishna Nursing Home, Ram Nagar, 3 p.m."
MADURAI TODAY FOR MAY 10 MONDAY,Sunday,2015-05-10,TAMIL NADU,['7 p.m.']," Anonymous: Meeting, Justice V.R. Krishna Iyer Community Hall, K.K. Nagar, 7 p.m."
MADURAI TODAY FOR 9 MAY SATURDAY,Saturday,2015-05-09,TAMIL NADU,['7 p.m.']," Anonymous: Meeting, Quality Care Hospital, Ellis Nagar, 7 p.m."
Coimbatore Today,Sunday,2015-05-03,TAMIL NADU,"['7 p.m.', '10 a.m.', '4 p.m.', '8 a.m.', '8 a.m.', '6.30 a.m.', '9 a.m.', '6 p.m.', '4 p.m.', '10.30 a.m.', '10 a.m.', '10.30 a.m.', '10 a.m.', '7 a.m.', '9 a.m.', '9.30 a.m.', '4 p.m.', '3 p.m.', '9 a.m.']","RELIGION
Kundam Festival: Sri Muniyappan Sri Badrakaliamman Temple, Nadar Street, 7 p.m.
Prayers to Sri Annai: Sri Aurobindo Trust, Sasibalika Vidya Mandir, Azad Road, R.S. Puram, 10 a.m.; Sri Annai Meditation Centre, W7C, Kovaipudur, 4 p.m.
Nam Prachara Vaibhavam: Austhiga Samajam, VRG Marriage Hall, Thadagam Road, 8 a.m.
Teppam Festival: Poongothai Amman, Othakalmandapam,
8 a.m.
Abhishekam: Rathinavinayakar Temple, R.S. Puram, 6.30 a.m.
Satsangh: Yagoda Satsanga Dhyana Kendra, Uppilipalayam,
9 a.m.
Discourse on Inner Peace: Raj Vidya Kender, North Huzur Road, 6 p.m.
CULTURE
Shri Krishna Naatya Kalak shetram: Naatya Vizha, Mani Higher Secondary School, 4 p.m.
GENERAL
Adithya Institute of Technology: Graduation Day, 10.30 a.m.
AJK College of Arts and Science: Photography Camp,
10 a.m.
G.R.Govindarajulu College of Education: Graduation,
10.30 a.m.
Mnemonics Learning Centre: Language therapy for children with dyslexia, R.S. Puram, 10 a.m.
Organising Committee: JCI Coimbatore Indcity cricket tourinament, KCT, Saravanampatti, 7 a.m.
Sibi IAS Academy: Felicitation function, Gandhipuram, 9 a.m.
Tamil Nadu Dalit Peoples Association: Higher education guidance programme, Thomas Club, 9.30 a.m.
Shanthi Ashram: United World Week, Kumaraguru College of technology, 4 p.m.
Alcoholic Anonymous: Meeting, Krishna Nursing Home, Ram Nagar, 3 p.m.
POLLACHI
Dr. Mahalingam College of Engineering and Technology: Faculty Development Programme, 9 a.m."
Engagements for Tuesday,Tuesday,2015-04-28,NEW DELHI,[]," Anonymous: Prakash Group: Vikaspuri, Delhi Government dispensary, KG1 Block; Primary Purpose Group: Church of the Resurrection, near Mother Dairy Booth, DDA Market, Rohini; Jeevandhara Group: Khyber Pass, Civil Lines, St. Thomas Baptist Church; Programme of Recovery Group: Dwarka Health Centre, Sector-12; Prashanti Group: Lord Mahavir School, Sector-29, adjacent to Brahmaputra Shopping Complex; Svikar Group: Old Seemapuri, Delhi Govt. dispensary, Gole Chakkar; A.A. Ujala Group: Masihgarh Church, Sukhdev Vihar, near Escorts Heart Institute."
Coimbatore Today,Sunday,2015-04-26,TAMIL NADU,"['10 a.m.', '4 p.m.', '6.30 p.m.', '9 a.m.', '6 p.m.', '10.45 a.m.', '10 a.m.', '10 a.m.', '11 a.m.', '10 a.m.', '9 a.m.', '11 a.m.', '5.30 p.m.', '9 a.m.', '3 p.m.', '10 a.m.', '10 a.m.']","RELIGION
Prayers to Sri Annai: Sri Aurobindo Trust, Sasibalika Vidya Mandir, Azad Road, R.S. Puram,
10 a.m.; Sri Annai Meditation Centre, W7C, Kovaipudur, 4 p.m.
Discourse on Uddhava Gita: Bharatiya Vidya Bhavan, 6.30 p.m.
Satsangh: Yagoda Satsanga Dhyana Kendra, Uppilipalayam,
9 a.m.
Discourse, Inner Peace: Raj Vidya Kender, North Huzur Road, 6 p.m.
Festival: Putridangkondeesar Temple, O.K. Mandapam,
10.45 a.m. onwards
CULTURE
Kasthuri Sreenivasan Trust: Painting exhibition, 10 a.m.
Kovai Ilakiya Santhippu: Meeting, Narasimma Naidu School, Marakkadai, 10 a.m.
GENERAL
Anthropological Survey of India: Anamalai Tribal Festival, Bharathiar University Arts and Science College, Valparai, 11 a.m.
Mnemonics Learning Centre: Language therapy for children with dyslexia, R.S. Puram, 10 a.m.
Tamil Nadu Tailoring Artists Confederation: Conference, 9 a.m.
7th Sense Academy: IQ championship for children, R.S. Puram, 11 a.m.
Indian Institute of Mind Power: Meeting, 5.30 p.m.
Coimbatore Gujarati Samaj: Blood donation camp, 9 a.m.
Alcoholic Anonymous: Meeting, Krishna Nursing Home, Ram Nagar, 3 p.m.
Co-optex: Exhibition, The Residency Hotel, 10 a.m.
TIRUPUR
Tamizh Parampariya Siddha Maruthuva Pathugapu Iyakkam: Conference, Thenkayelai Ulaga Samadhana Aalayam, Thirumoorthi Hills, 10 a.m."
Engagements,Sunday,2015-04-19,NEW DELHI,"['11 a.m.', '7 p.m.', '11 a.m.', '10 a.m.', '11 a.m.', '6.30 a.m.']"," Anonymous : Meetings - Aakarshan Group: Paschim Vihar, Delhi Government dispensary, G A2,Block opposite Radha Krishna Temple. 7-8.30 p.m. ; Programme ofRecovery Group: Dwarka Health Center, Sector-12, 7.30-8.30 p.m. ; Gateway of Sobriety Group: Saad Nagar, Palam Delhi Govt. Dispensary 11 a.m.; Prashanti Gruup: Lord Mahavir School, Sector-29, adjacent to Bhramaputra Shopping Complex, 7-8.30 p.m.; Navjyoti Group:Geeta Bhawan, Shahdara 7-8.30 p.m. ; A.Ujala Group: Masihgarh Church, Sukhdev Vihar, Near Escorts Heart Institute, 7 p.m.; Atam Shanti Group: N-85, Narayan Nagar, Lalita Park, Laxmi Nagar 7-8.30 p.m. ; A.A AshadeepGroup:C-1, Safdarjang Development Area, Sahoday School, 11 a.m.; Jagriti Group: St Columba’s School, Bhai Vir Singh Marg, near Gole Dak Khana, 10 a.m. ; Vishwas Group: Basti Vikas Kendra: Jawahar Camp, Kirti Nagar, 11 a.m.; Morning Attitude Modification Group: Basti Vikas Kendra, Jawahar Camp, Kirti Nagar, Sector-6, 6.30 a.m.; and A.A Steps To SobrietyGroup:Arya Samaj Mandir, near South Delhi Club, Greater Kailash-I 11.a.m."
Engagements for Saturday,Saturday,2015-04-18,NEW DELHI,[]," Anonymous: Meeting: Aakarshan Group:Paschim Vihar, Delhi Government dispensary,G A2, Block, opposite Radha Krishna Temple; Primary Purpose Group: Church of the Resurrection, near Mother Dairy Booth, DDA Market, Rohini; Jeevandhara Group: Khyber Pass, Civil Lines St. Thomas Baptist Church; Programme of Recovery Group: Dwarka Health Centre, Sector-12; Prashanti Group: Lord Mahavir School Sector-29, adjacent to Bhramaputra Shopping Complex; Chetna Group: Delhi Govt. dispensary,B-1 Block, Yamuna Vihar, near Mother Dairy"
MADURAI TODAY FOR APRIL 10 FRIDAY,Friday,2015-04-10,TAMIL NADU,['7 p.m.']," Anonymous: Meeting, Grace Kennett Hospital, near railway station, 7 p.m."
MADURAI TODAY FOR 6 APRIL MONDAY,Monday,2015-04-06,TAMIL NADU,['7 p.m.']," Anonymous: Meeting, Quality Care Hospital, Ellis Nagar, 7 p.m."
MADURAI TODAY FOR 3 APRIL FRIDAY,Friday,2015-04-03,TAMIL NADU,['7 p.m.']," Anonymous: Meeting, Grace Kennett Hospital, 7 p.m."
MADURAI TODAY FOR 30 MARCH MONDAY,Monday,2015-03-30,TAMIL NADU,['7 p.m.']," Anonymous: Meeting, Quality Care Hospital, Ellis Nagar, 7 p.m."
In the capital today,Saturday,2015-03-28,NEW DELHI,['7 p.m.']," Anonymous: Meetings – Aakarshan Group: Paschim Vihar, Delhi Government dispensary, G A2, Block, opposite Radha Krishna Temple; Primary Purpose Group: Church of the Resurrection, near Mother Dairy Booth, DDA Market, Rohini; Jeevandhara Group: Khyber Pass, Civil Lines St. Thomas Baptist Church; Programme of Recovery Group: Dwarka Health Centre, Sector-12; Prashanti Group: Lord Mahavir School Sector-29, adjacent to Brahmaputra Shopping Complex; Chetna Group: Delhi Govt. dispensary, B-1 Block, Yamuna Vihar, near Mother Dairy; A.A. Ujala Group: Masihgarh Church, Sukhdev Vihar, near Escorts Heart Institute; Group: St Columba’s School, Bhai Vir Singh, near Gole Dak Khana; and Morning Attitude Modification Group: Basti Vikas Kendra, Jawahar Camp, Kirti Nagar, Sector-6, 7 p.m."
MADURAI TODAY FOR 23 March Monday,Monday,2015-03-23,TAMIL NADU,['7 p.m.']," Anonymous: Meeting, Quality Care hospital, Ellis Nagar, 7 p.m."
